Paper_ID,Citation,Paper_Type,Core_Problem,Proposed_Method,Key_Assumptions,Datasets_Used,Main_Result,Limitations,Future_Work,Static_or_Dynamic,Single_or_MultiTier,Severity_Mentioned,Camp_Tag,RQ_Relevance,Contradicts_Aligns,Quality_Signal,Terminology_Definitions,Reusable_Figures
"11-Deep convolutional neural network model based chemical process fault diagnosis","Wu H, Zhao J. Deep convolutional neural network model based chemical process fault diagnosis. Computers and Chemical Engineering 2018, 115, 185-197.","Framework-Model Proposal","Existing FDD methods require considerable domain expertise for feature engineering and fault diagnosis rates are not high enough; deep learning can automatically extract features.","DCNN model with convolutional layers, pooling layers, dropout, and fully connected layers; data transformed into 2D matrices (m × n) capturing temporal and spatial domains; t-SNE for feature visualization.","DCNN can automatically extract features in both spatial and temporal domains; deeper networks with ReLU train faster; dropout prevents overfitting; t-SNE reveals hierarchical feature learning.","Tennessee Eastman Process (TEP) with 50 variables (excluding constant manipulated variables), 20 fault types.","Achieves 88.2% average FDR across 20 fault types, 6.1% higher than DBN-based model (82.1%); training accuracy 98.6%; fault detection for hard-to-detect faults (9,15,16) improved; diagnosis time explored.","Model relies on historical fault data; not applicable to faults without historical data; super complex processes with thousands of variables pose design challenges; some faults still have low FDR (9,15,16).","Designing DCNN for super complex chemical processes with thousands of variables; online application; integration with process safety and risk assessment.","Dynamic + Justification: Uses time-series data and sliding windows to capture temporal dynamics; transforms data into 2D matrices with temporal and spatial dimensions.","Not Applicable","Yes: Fault severity discussed; fault detection rate (FDR) and false positive rate (FPR) metrics; process safety and risk implications.","deep-cnn-fault-diagnosis","High: Addresses dynamic allocation of AI model complexity; proposes DCNN for real-time fault detection with automatic feature extraction.","Aligns with RQ focus on dynamic resource allocation; provides automated feature learning.","Peer-reviewed","Key terms: Deep convolutional neural network (DCNN); Fault Detection and Diagnosis (FDD); Tennessee Eastman Process (TEP); t-SNE; Feature extraction; Spatial and temporal domains.","Yes: Figure 7-8 (framework and data preprocessing), Figure 10-12 (training/testing accuracy, confusion matrix, t-SNE visualizations), Table 6 (comparison with DBN), Table 10 (diagnosis time)."
"12-ANO~1","Wang Y, Pan Z, Yuan X, Yang C, Gui W. A novel deep learning based fault diagnosis approach for chemical process with extended deep belief network. ISA Transactions 2020, 96, 457-467.","Framework-Model Proposal","Traditional deep belief networks lose valuable information in raw data during layer-wise feature compression, which disadvantages subsequent fine-tuning for fault classification.","Extended Deep Belief Network (EDBN): stacks extended RBMs (ERBMs) where raw data is combined with hidden features as inputs to each ERBM during pre-training; dynamic EDBN-based classifier considers process dynamics.","Raw data combined with hidden features can preserve valuable information; ERBM can extract layer-wise features related to raw data; dynamic augmentation can capture temporal correlations.","Tennessee Eastman Process (TEP) benchmark with 33 variables, 19 categories (normal + 18 faults).","Achieves 94.31% average FDR (19-category), 0.42% higher than DBN; outperforms DBN in most fault types; pre-training time 1.02-1.30 times DBN; dynamic modeling improves performance.","Requires additional computation for raw data concatenation; hyperparameter tuning (layers, activation functions) still challenging; only tested on TEP; fault types with similar patterns still difficult.","Application to other chemical processes; further optimization of network architecture; integration with online learning; handling of missing data and noisy measurements.","Dynamic + Justification: Uses augmented dynamic data with time window; considers temporal correlations; dynamic EDBN-based classifier.","Not Applicable","Yes: Fault severity indicated by FDR and FPR; hard-to-detect faults (IDV10, IDV16, IDV21) discussed; safety implications.","extended-deep-belief-network","High: Addresses dynamic allocation of AI model complexity for fault classification; proposes EDBN for improved feature extraction.","Aligns with RQ focus on dynamic resource allocation; improves feature representation.","Peer-reviewed","Key terms: Extended Deep Belief Network (EDBN); Extended RBM (ERBM); Fault Detection and Diagnosis (FDD); Tennessee Eastman Process (TEP); Dynamic modeling; Feature extraction.","Yes: Figure 3-5 (EDBN structure and training), Figure 6-8 (data augmentation and framework), Figure 9-10 (classification results), Table 5-6 (performance comparison)."
"13-Process topology convolutional network model for chemical process fault diagnosis","Wu D, Zhao J. Process topology convolutional network model for chemical process fault diagnosis. Process Safety and Environmental Protection 2021, 150, 93-109.","Framework-Model Proposal","Pure data-driven FDD models lack explainability, utilize no process knowledge, have high degree of freedom with many parameters, and are prone to overfitting; model building process is not rational.","Process Topology Convolutional Network (PTCN): graph convolutional network (GCN) based model using process topology as graph; integrates process knowledge via adjacency matrix; simpler network structure with fewer parameters.","Chemical process topology can be transformed into a graph; GCN can utilize graph structure for feature extraction; process knowledge reduces model complexity and improves explainability.","Tennessee Eastman Process (TEP) with 82 nodes and 113 edges in process graph; 41 measurements and 11 manipulated variables.","Achieves 93.92% ACR (all 20 faults), 97.29% without faults 9 and 15; outperforms DBN (82.1%), DCNN (88.2%), BiGRU (92.7%), CGN, DFAE-SOM; only 0.597M parameters vs 2.537M for DCNN; requires 54% less training data.","Requires P&ID to construct process graph; graph construction can be complex for very large processes; some faults (9,15) still difficult; graph direction choice affects performance.","Analyzing PTCN inference process and enhancing explainability; application to RA and ASM; integration with quantitative risk assessment; handling of dynamic process changes.","Dynamic + Justification: Uses graph structure to propagate information; handles dynamic process data through temporal features in nodes.","Not Applicable","Yes: Fault severity discussed in context of process safety; abnormal situation management (ASM); risk assessment integration.","process-topology-convolutional-network","High: Addresses dynamic allocation of AI model complexity; uses process topology to improve efficiency; supports real-time monitoring.","Aligns with RQ focus on dynamic resource allocation; integrates process knowledge.","Peer-reviewed","Key terms: Process topology; Graph convolutional network (GCN); Explainable deep learning; Process safety; Abnormal situation management (ASM); Tennessee Eastman Process (TEP).","Yes: Figure 4 (PTCN model structure), Figure 5-6 (framework and graphs), Figure 7-10 (complete TE graph and results), Figure 11 (data requirements comparison)."
"14-A Wavelet-Based Evolving Fuzzy Framework for Fault Diagnosis in the Tennessee Eastman Process","Márquez-Vera MA, Ruiz-Vanoye JA, Márquez-Vera CA, Ma'arif A, Mendoza-Ramírez E. A Wavelet-Based Evolving Fuzzy Framework for Fault Diagnosis in the Tennessee Eastman Process.","Framework-Model Proposal","Evolving fuzzy systems (EFS) performance depends heavily on input data preprocessing; need for systematic evaluation of preprocessing strategies for EFS in fault diagnosis.","One-vs-rest EFS architecture with wavelet-based preprocessing (Daubechies-4, Haar, Coiflet) for ten representative TEP faults; uses least angle regression for variable selection (7 variables); open-source implementation in Octave.","Wavelet preprocessing can highlight fault signatures; Daubechies-4 improves EFS performance; choice of wavelet should be guided by application priorities (sensitivity vs specificity).","Tennessee Eastman Process (TEP) benchmark with 10 selected faults (IDV1, IDV2, IDV4, IDV5, IDV6, IDV7, IDV8, IDV10, IDV13, IDV14).","Daubechies-4 achieves best overall F1-score (73.68%) and sensitivity (97.37%) vs no preprocessing (70.67% F1); Haar achieves highest specificity (55.37%); per-fault analysis shows high performance for IDV6, IDV7, IDV14.","Evaluation on simulated data; only 10 of 20 TEP faults analyzed; one-vs-rest architecture requires separate classifiers for each fault; EFS hyperparameters require tuning.","Online adaptive learning; multifractal feature extraction; hybrid entropy-fractal descriptors; Kolmogorov-Arnold networks; real-world validation on industrial data.","Dynamic + Justification: EFS processes data incrementally; wavelet preprocessing handles non-stationary signals; designed for evolving process dynamics.","Not Applicable","Yes: Fault severity discussed; incipient faults mentioned; safety-critical applications in chemical processes.","evolving-fuzzy-wavelet-fdd","Medium: Addresses dynamic allocation of AI model complexity through incremental EFS learning; wavelet preprocessing enhances feature extraction; does not directly address multi-tier orchestration.","Aligns with RQ focus on dynamic adaptability and resource allocation; provides interpretable fuzzy framework.","Peer-reviewed","Key terms: Evolving fuzzy systems (EFS); Wavelet transform; One-vs-rest classification; Tennessee Eastman Process (TEP); Fault diagnosis; Incremental learning.","Yes: Figure 1 (fault locations), Figure 2 (EFS scheme), Figure 3-4 (performance comparisons), Table 1-6 (detailed results)."
"15-Hierarchical Deep LSTM for Fault Detection and Diagnosis for a Chemical Process","Agarwal P, Gonzalez JIM, Elkamel A, Budman H. Hierarchical Deep LSTM for Fault Detection and Diagnosis for a Chemical Process. Processes 2022, 10, 2557.","Framework-Model Proposal","Incipient faults are difficult to detect due to low signal-to-noise ratio and feedback control; lack of distinguishability between faults; passive FDD alone insufficient for incipient faults.","Hierarchical structure combining Deep LSTM Supervised Autoencoder (DLSTM-SAE) with active FDD via PRBS signal injection; hierarchical classification groups faults by difficulty; PRBS enhances observability of incipient faults.","LSTM with extended time horizon improves classification; hierarchical structure with re-normalization improves sensitivity; PRBS injection can enhance incipient fault detection; passive+active approach needed for incipient faults.","Tennessee Eastman Process (TEP) with 52 variables, 20 faults + normal; standard dataset from http://depts.washington.edu/control/LARRY/TE/download.html.","Achieves 93.23% average FDR (all faults), outperforming SAE-NN (75.36%), DSN (65.32%), GAN (64.51%), CNN (79.84%), optimized LSTM (70.15%), LSTM-attention (87.85%); hierarchical+PRBS achieves 99.38% for Fault 9 and 100% for Fault 15.","PRBS injection may impact process profitability; active FDD introduces external disturbance; hierarchical structure requires careful grouping of faults; PRBS design requires process knowledge.","Trade-off between PRBS impact on quality/productivity vs benefit of early incipient fault detection; online learning and adaptation; integration with real industrial systems.","Dynamic + Justification: Uses LSTM for temporal dynamics; hierarchical structure for dynamic fault classification; PRBS for active excitation.","Not Applicable","Yes: Focuses on incipient faults with low signal-to-noise ratio; faults 3,9,15 are notoriously difficult; severity mentioned in context of observability.","hierarchical-lstm-fdd","High: Addresses dynamic allocation of AI model complexity; hierarchical structure improves incipient fault detection; proposes PRBS for active fault diagnosis.","Aligns with RQ focus on dynamic resource allocation; specifically targets incipient faults.","Peer-reviewed","Key terms: Hierarchical Deep LSTM; Supervised Autoencoder (SAE); Incipient faults; PRBS (Pseudo-Random Binary Signal); Active FDD; Tennessee Eastman Process (TEP).","Yes: Figure 5 (hierarchical structure), Figure 6-9 (confusion matrices, time horizon selection), Table 3-5 (comparison results, ablation study)."
"16-Fault detection in Tennessee Eastman process with temporal deep learning models","Lomov I, Lyubimov M, Makarov I, Zhukov LE. Fault detection in Tennessee Eastman process with temporal deep learning models. Journal of Industrial Information Integration 2021, 23, 100216.","Empirical Study","Need for advanced deep learning approaches for early fault detection in industrial processes that do not require extensive feature engineering; existing methods rely on manual feature engineering.","Investigation of recurrent (LSTM, GRU, Transformer) and convolutional architectures (Temporal CNN1D, Temporal CNN1D2D) for TEP fault detection; GAN-based data augmentation to enrich training data.","Temporal CNN with combined 1D and 2D convolutions can capture patterns within single sensors and correlations between sensors; GAN can generate realistic training data; GRU type 2 model performs best among recurrent architectures.","Tennessee Eastman Process extended TEP dataset (500 runs per fault, 52 features).","Temporal CNN1D2D with GAN enrichment achieves best overall results, particularly on hardest faults (3,9,15); GRU type 2 achieves 100% TPR on many faults; outperforms PCA, DBN, ANN, GAN, MSDAE-TP in FPR/TPR metrics.","GAN training can be unstable and prone to mode collapse; Transformer underperforms on TEP; normal operating state is difficult to detect; data augmentation requires careful tuning.","Improve GAN training stability; online learning and adaptation; integration with process management; handling of concept drift and changing operating conditions.","Dynamic + Justification: Uses temporal deep learning models (LSTM, GRU, CNN) for time-series fault detection; handles sequential data and process dynamics.","Not Applicable","Yes: Fault severity implied through detection rates; process safety and management discussed; hard-to-detect faults (3,9,15) identified.","temporal-deep-learning-fdd","High: Addresses dynamic allocation of AI model complexity; proposes temporal CNN architectures for real-time fault detection; GAN for data augmentation.","Aligns with RQ focus on dynamic resource allocation; provides temporal models.","Peer-reviewed","Key terms: Temporal CNN; LSTM; GRU; Generative Adversarial Network (GAN); Tennessee Eastman Process (TEP); Fault detection; Data augmentation.","Yes: Figure 7-9 (architectures: Temporal CNN1D, CNN1D2D, GAN pipeline), Figure 10-13 (TPR/FPR comparisons, detection delay), Table 8 (comparison with other methods)."
"17-Enhancing fault detection and diagnosis systems for a chemical process","Souza ACO, Souza MB Jr, Silva FV. Enhancing fault detection and diagnosis systems for a chemical process: a study on convolutional neural networks and transfer learning.","Empirical Study","Most studies use pre-existing TEP datasets with separately simulated faults, lacking realistic continuous operation data; none have evaluated how to adjust FDD models when process control strategy changes.","CNN-based FDD system with new continuous simulation datasets (normal and faulty periods randomly alternated); fully convolutional networks (FCNs) investigated; transfer learning (fine-tuning) applied when control strategy changes.","Continuous simulation generates more realistic datasets with transition periods; FCNs can improve performance; transfer learning can adapt models to new control strategies without retraining from scratch.","Tennessee Eastman Process (TEP) with two simulators (MATLAB/Simulink Ricker model and Python Braatz model) with different control strategies; new continuous datasets generated.","FCN2 achieves 80.6% precision and 83.7% recall, outperforming M5 (78.3%/80.5%), MLP (74.1%/71.1%), RF (70.4%/63.4%), SVM (61.8%/54.8%); fine-tuning achieves 79.8% precision and 76.6% recall with only 3 months of data.","Requires generation of new datasets; transfer learning performance depends on similarity of source and target domains; FCN architecture may not generalize to all processes; computational cost of fine-tuning.","Expansion of transfer learning to few-shot fault scenarios; comparison with other DL architectures (RNN, LSTM, DBN, AE); physics-informed neural networks for incipient faults.","Dynamic + Justification: Uses continuous simulations with random fault durations and transition periods; models dynamic process behavior; transfer learning for changing control strategies.","Not Applicable","Yes: Fault severity implied through detection rates; process safety and operational efficiency discussed.","cnn-transfer-learning-fdd","High: Addresses dynamic allocation of AI model complexity; transfer learning for changing control strategies; supports real-time monitoring.","Aligns with RQ focus on dynamic resource allocation; addresses control strategy changes.","Peer-reviewed","Key terms: Convolutional neural network (CNN); Transfer learning; Fully convolutional networks (FCN); Tennessee Eastman Process (TEP); Fault detection and diagnosis (FDD); Continuous simulation.","Yes: Figure 9 (FDD framework), Figure 12-14 (confusion matrices, feature visualizations), Table 3-10 (hyperparameters, results, comparison)."
"18-Fault Detection and Diagnosis in Tennessee Eastman Process with Deep Autoencoder","Xiao Z, Kordon A, Sen S. Fault Detection and Diagnosis in Tennessee Eastman Process with Deep Autoencoder.","Framework-Model Proposal","Traditional statistical methods (PCA) are limited by linearity and Gaussian assumptions; deep learning can capture nonlinear relationships; need for automatic variable selection and semi-supervised fault detection.","Deep autoencoder (DAE) with 5 layers and PReLU activation; dynamic time-variable matrix (t×m) captures temporal and spatial domains; automatic variable selection based on reconstruction errors; semi-supervised training on normal data only.","DAE can automatically select important variables via reconstruction errors; nonlinear transformation captures more useful fault features; semi-supervised approach works with unlabeled normal data.","Tennessee Eastman Process (TEP) with 52 variables, 21 faults; training data: 960 normal samples; test data: 960 samples (160 normal + 800 fault).","Outperforms PCA T² and SPE in FDR and FAR for most faults; achieves 100% FDR for faults 4,5,6,7,14; automatic variable selection identifies root-cause variables consistent with literature (Fault 11: Variables 9 and 51).","Only applicable to steady processes; dynamic industrial systems with thousands of variables are challenging; requires normal data for training; performance on hard-to-detect faults (3,9,15) still limited.","Designing DAE architecture for real-world dynamic industrial systems; handling nonstationary processes; integration with online monitoring; extension to other industrial processes.","Dynamic + Justification: Uses dynamic time-variable matrix with sliding window to capture temporal dynamics; handles process data streaming.","Not Applicable","Yes: Fault severity measured via FDR, FAR, and detection delay; safety and economic implications discussed.","deep-autoencoder-fdd","High: Addresses dynamic allocation of AI model complexity; proposes DAE for real-time fault detection with automatic variable selection.","Aligns with RQ focus on dynamic resource allocation; provides automatic feature selection.","Peer-reviewed","Key terms: Deep autoencoder (DAE); Automatic variable selection; Reconstruction error; Tennessee Eastman Process (TEP); Fault detection and diagnosis; Semi-supervised learning.","Yes: Figure 3 (data preprocessing), Figure 4-5 (variable selection examples), Figure 6 (performance comparison), Table 2-4 (FDR, FAR, detection delay)."
"19-Soft Sensing of LPG Processes Using Deep Learning","Sifakis N, Sarantinoudis N, Tsinarakis G, Politis C, Arampatzis G. Soft Sensing of LPG Processes Using Deep Learning. Sensors 2023, 23, 7858.","Empirical Study","Need for soft sensors to predict critical variables (C2, C5 content, energy consumption) in LPG purification processes where traditional laboratory analysis is slow and expensive; challenges with dirty data and scalability.","ANN and ensemble Random Forest Regressor (RFR) soft sensor models for de-ethanization and debutanization in LPG process; data from real refinery sensors; predicts C2, C5, and energy consumption from pressure, temperature, and reboiler flow.","Soft sensors can provide real-time predictions; RFR outperforms ANN; model interpretability and online learning are important; dirty data can be handled with preprocessing.","Real oil refinery LPG purification process with de-ethanization and debutanization columns; 2 years of sensor data; 7 input variables (temperature, pressure, flow).","RFR achieves RMSE 0.1108 (C2), 0.0404 (C5), 53.799 (Q) vs ANN 0.238 (C2), 0.079 (C5), 249.17 (Q); R² 0.9561 (C2), 0.8346 (C5), 0.9878 (Q); feature importance identifies key variables (Reb_But for energy consumption).","Data from single refinery; model interpretability limited (black-box nature); ANN requires extensive data; online learning not fully implemented; validation on other refinery processes needed.","Improve interpretability of AI/ML-based soft sensors; online learning for real-time adaptation; handle inconsistent and erroneous data; test scalability on other refinery operations; incorporate advanced deep learning techniques.","Dynamic + Justification: Models dynamic process behavior in distillation columns; uses time-series sensor data; predicts time-varying concentrations and energy consumption.","Not Applicable","No: Focuses on soft sensing for quality prediction and energy consumption, not explicitly on fault severity or fault detection; process monitoring for operational efficiency.","lpg-soft-sensing","Low: Addresses soft sensing for process monitoring, not directly multi-tier orchestration or dynamic AI model complexity allocation for fault detection; supports process control decisions.","Not directly aligned with RQ focus on fault detection; addresses related process monitoring.","Peer-reviewed","Key terms: Soft sensors; Deep learning; LPG purification; De-ethanization; Debutanization; Random Forest Regressor (RFR); Artificial Neural Network (ANN).","Yes: Figure 1-2 (process diagrams and data distribution), Figure 3-7 (prediction results, histograms, scatter plots), Table 1-2 (variable statistics, evaluation metrics)."
"20-MAP~1","Costa EA, Rebello CM, Santana VV, Rodrigues AE, Ribeiro AM, Schnitman L, Nogueira IBR. Mapping Uncertainties of Soft-Sensors Based on Deep Feedforward Neural Networks through a Novel Monte Carlo Uncertainties Training Process. Processes 2022, 10, 409.","Framework-Model Proposal","Deep learning-based soft sensors lack uncertainty quantification; need to identify and map prediction uncertainties for reliable application in chemical process monitoring.","Novel Monte Carlo uncertainties training (MCUT) process for deep feedforward neural networks (DFNN); evaluates epistemic and aleatory uncertainty; applies to soft sensor for syngas purification PSA unit productivity prediction.","DFNN models have epistemic (model) and aleatory (data) uncertainty; MCUT can generate set of models with equivalent performance; uncertainty can be quantified via quantiles and inverse-gamma distribution.","Syngas purification through pressure swing adsorption (PSA) unit; synthetic data from phenomenological model; 25,050 points; 8 input variables.","MCUT successfully identifies epistemic and aleatory uncertainty; epistemic uncertainty >75% of total; predictions follow virtual plant tendency with quantifiable confidence intervals; MAE 0.1746, MSE 0.0587 for DFNN model.","Computationally exhaustive (1000 models trained); offline training required; only tested on synthetic data; uncertainty quantification assumes specific distributions; real-world validation needed.","Real-time uncertainty-aware soft sensors; integration with process control; application to experimental data; improvement of MCUT efficiency; handling of non-stationary processes.","Dynamic + Justification: Soft sensor for dynamic PSA process; uses NARX model with regressors; predicts time-varying productivity.","Not Applicable","No: Focuses on uncertainty quantification for soft sensors, not explicitly fault severity or fault detection; process monitoring and productivity prediction.","uncertainty-aware-soft-sensor","Low: Addresses uncertainty in soft sensors, not directly multi-tier orchestration for fault detection; supports reliable process monitoring.","Not directly aligned with RQ focus on fault detection; addresses uncertainty quantification.","Peer-reviewed","Key terms: Soft sensors; Uncertainty quantification; Monte Carlo; Deep feedforward neural networks (DFNN); Epistemic uncertainty; Aleatory uncertainty; Pressure swing adsorption (PSA).","Yes: Figure 1 (methodology), Figure 8-11 (parity plots, histograms, uncertainty visualization), Table 2-4 (hyperparameters, adjustment indices)."
"21-A Survey on Deep Learning for Data-Driven Soft Sensors","Sun Q, Ge Z. A Survey on Deep Learning for Data-Driven Soft Sensors.","Survey","Need to demonstrate necessity and significance of deep learning for soft sensor applications; summarize mainstream DL models, tricks, and frameworks; review existing applications and discuss future research directions.","Comprehensive survey of deep learning techniques for data-driven soft sensors: AE, RBM, CNN, RNN architectures; general tricks (regularization, dropout, batch normalization); frameworks/toolkits (TensorFlow, PyTorch); existing applications and future outlook.","Deep learning matches trends of industrial processes (complexity, big data); DL avoids feature engineering and leverages large datasets; different DL models suit different soft sensor tasks; labeled data scarcity, hyperparameter optimization, reliability are key challenges.","Various industrial processes: chemical, power, machinery, aerospace; benchmark datasets and real-world processes (debutanizer, polymerization, hydrocracking, etc.).","DL-based soft sensors outperform conventional methods (PLS, SVM); AE-based methods dominate for semi-supervised and missing data; RBM/DBN for nonlinear feature extraction; CNN for grid-like data; RNN/LSTM for dynamic modeling; TensorFlow and PyTorch are most popular platforms.","Lack of labeled samples remains challenge; hyperparameter optimization is difficult; model reliability and interpretability issues; distributed parallel modeling for big data not well developed.","Self-supervised learning (SSL) for unlabeled data; meta-learning for hyperparameter optimization; model visualization and knowledge integration for reliability; distributed parallel modeling for big data.","Not Applicable","No: Survey paper focusing on soft sensing techniques, not specifically fault severity or fault detection; process monitoring and quality prediction.","deep-learning-soft-sensor-survey","Low: Survey paper; not directly addressing multi-tier orchestration or dynamic AI model complexity allocation for fault detection; provides background on DL for process monitoring.","Not directly aligned with RQ focus on fault detection; provides survey context.","Peer-reviewed","Key terms: Soft sensors; Deep learning; Data-driven modeling; Autoencoder (AE); Restricted Boltzmann Machine (RBM); Convolutional Neural Network (CNN); Recurrent Neural Network (RNN); Industrial big data.","Yes: Figure 2-3 (comparison of learning theories, scale drives performance), Figure 8 (iterative development process), Figure 9 (statistics on applications), Table 1-2 (model summaries, platform comparisons)."
"22-Deep Learning With Spatiotemporal Attention-Based LSTM for Industrial Soft Sensor Model Development","Yuan X, Li L, Shardt YAW, Wang Y, Yang C. Deep learning with spatiotemporal attention-based LSTM for industrial soft sensor model development. IEEE Transactions on Industrial Electronics.","Framework-Model Proposal","Original LSTM does not consider variable and sample relevance for quality prediction in industrial processes; need to identify important input variables and relevant hidden states across time steps.","Spatiotemporal attention-based LSTM (STA-LSTM): spatial variable attention to identify input variables related to quality prediction; temporal attention to adaptively discover quality-related hidden states across all time steps; encoder-decoder architecture.","Spatial attention can identify important input variables; temporal attention can discover relevant hidden states; spatiotemporal attention improves prediction accuracy for quality variables.","Industrial hydrocracking process; 43 process variables; predicts initial boiling points of heavy naphtha and aviation kerosene.","STA-LSTM achieves RMSE 0.0184 (heavy naphtha) and 0.2620 (aviation kerosene), outperforming ARIMAX, DBN, RNN, LSTM, and attention LSTM; R² 0.9548 and 0.7613; model residuals validate structure and parameters.","Requires uniformly sampled data; only tested on two quality variables; hyperparameter tuning required (window size, neurons); computational cost of attention mechanisms.","Modeling with irregular sampling rates; multistep predictions; application to other industrial processes; integration with process control; online learning for time-varying processes.","Dynamic + Justification: Uses LSTM for temporal dynamics; attention mechanisms for spatiotemporal feature extraction; handles dynamic process data.","Not Applicable","No: Focuses on soft sensing for quality prediction, not explicitly fault detection or severity; process monitoring for quality variables.","spatiotemporal-attention-lstm","Low: Addresses soft sensing for quality prediction, not directly multi-tier orchestration for fault detection; supports process monitoring.","Not directly aligned with RQ focus on fault detection; addresses quality prediction.","Peer-reviewed","Key terms: Spatiotemporal attention; LSTM; Soft sensor; Quality prediction; Hydrocracking process; Attention mechanism; Encoder-decoder.","Yes: Figure 3 (STA-LSTM framework), Figure 4 (flowchart), Figure 6-7 (parameter selection), Figure 8-10 and 13-15 (results, residual tests, attention weights), Table 1-2 (performance comparison)."
"23-Data-Driven Soft Sensor Approach for Quality Prediction in a Refining Process","Wang D, Liu J, Srinivasan R. Data-Driven Soft Sensor Approach for Quality Prediction in a Refining Process.","Empirical Study","Real-time measurement of product quality in refining processes is difficult; need for online quality prediction using readily available process measurements for operation and quality control.","PLS-based soft sensor with data preprocessing, multivariate outlier detection, variable selection (genetic algorithm), and dynamic PLS (augmented predictor matrix with time lags) for quality prediction in crude distillation unit.","Data quality issues (outliers, missing data) need careful handling; PLS with variable selection and dynamic augmentation improves prediction; PLS provides transparent and unique model compared to black-box NN.","Crude distillation unit (CDU) in refinery; ASTM 90% distillation temperature (D90) as quality variable; 35 process variables over 63 days.","PLS soft sensor reduces average error from 9.099e-3 (analyzer) to 5.943e-3 and 4.542e-3; outperforms NN in transparency with comparable precision; variable selection identifies 14 relevant process variables.","Industrial processes are nonlinear; PLS is linear; NN models are black-box; data quality issues persist; requires frequent recalibration; only tested on one refinery process.","Combining linear PLS with nonlinear terms; online deployment and maintenance; application to other refining processes; integration with control systems.","Dynamic + Justification: Uses dynamic PLS with time lags to account for serial correlation; handles time-series data.","Not Applicable","No: Focuses on quality prediction for refining, not explicitly fault detection or severity; process monitoring and quality control.","pls-soft-sensor-refining","Low: Addresses soft sensing for quality prediction, not directly multi-tier orchestration for fault detection; supports process control.","Not directly aligned with RQ focus on fault detection; addresses quality prediction.","Peer-reviewed","Key terms: Soft sensor; Partial least squares (PLS); Quality prediction; Refining process; Outlier detection; Variable selection; Dynamic PLS.","Yes: Figure 2-4 (quality data, variable selection), Figure 5-7 (outlier detection, prediction results), Table 1-2 (error comparison)."
"24-Graph convolutional network soft sensor for process quality prediction","Jia M, Xu D, Yang T, Liu Y, Yao Y. Graph convolutional network soft sensor for process quality prediction.","Framework-Model Proposal","Most deep learning soft sensors are black-box models that do not integrate prior knowledge; need to explicitly explore variable relationships for model interpretability and to capture localized spatial-temporal correlations.","GCN-based soft sensor with localized spatial-temporal correlations; spatial edges for relationships at same time, temporal edges for cross-time correlations; learns localized matrices with regularization; temporal convolution for long-term dependencies.","Graphs can exploit essential relations among variables; GCN can capture localized spatial-temporal correlations; regularization improves explainability; model is not a black box.","Penicillin fermentation process (Pensim and IndPensim); 15 variables (Pensim), 12 variables (IndPensim); predicts penicillin concentration.","Achieves RMSE 0.018 (Pensim) and 0.552 (IndPensim), outperforming SVR, PLS, LSTM, GCN; noise robustness demonstrated (5%/10% noise); visualization of localized correlations consistent with process knowledge (substrate feed flowrate affects biomass, which affects other variables).","Variable relationships may change over time (time-varying processes); requires MIC-based variable selection; hyperparameter tuning (β, channels); assumes graph structure fixed.","Dynamic graph structures for time-varying processes; online learning; application to other industrial processes; integration with process control.","Dynamic + Justification: Uses temporal convolution and localized spatial-temporal correlations; captures time-series properties and cross-correlations.","Not Applicable","No: Focuses on soft sensing for quality prediction, not explicitly fault detection or severity; process monitoring for quality variables.","gcn-soft-sensor","Low: Addresses soft sensing with graph-based interpretability, not directly multi-tier orchestration for fault detection; supports process monitoring.","Not directly aligned with RQ focus on fault detection; addresses interpretability in soft sensing.","Peer-reviewed","Key terms: Graph convolutional network (GCN); Soft sensor; Localized spatial-temporal correlations; Maximum information coefficients (MIC); Temporal convolution; Fermentation process.","Yes: Figure 1-5 (GCN, TCN, STCL architectures), Figure 6-8 (framework, MIC selection, input trajectories), Figure 9-14 (prediction results, topology visualizations), Table 1-5 (RMSE, MIC, results)."
